ACCT_ID,SUBSTATION,SUPPLY_TYPE,MR_SOURCE_CD,PAY_AMT,PAY_DATE,CURRENT_ASSESSMENT
0703382000,RANI MAHAL_20050,20,MOBILEBILL,1303,18-JUL-2025,1302.43
9849043000,SUTI MILL_20055,H21T,MRI,274913,18-JUL-2025,276544.01
1956182000,RANI MAHAL_20050,10,MOBMRI,1193,22-JUL-2025,1393.28
1551182000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,1011,16-JUL-2025,1204.59
4883672000,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,3225,19-JUL-2025,3639.9
4821886941,MUNNA LAL POWER HOUSE_20049,20,SM,597,08-JUL-2025,601
5074672000,JAIL CHOWRAHA_20051,10,MOBILEBILL,2275,17-JUL-2025,2396.4
3213869988,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,1865,10-JUL-2025,803.81
8390182000,RANI MAHAL_20050,10,OCR_CORAL,6637,07-JUL-2025,7200.3
5447872000,UNNAV GATE_20056,10,MOBILEBILL,4228,12-JUL-2025,4658.21
0870272000,SHIPRI_20053,10,MRB,2591,26-JUL-2025,3016.85
6902272000,SHIPRI_20053,10,SM,3037,04-JUL-2025,3437.58
0707372000,SHIPRI_20053,10,MOBILEBILL,2630,07-JUL-2025,2898.37
0481282000,UNNAV GATE_20056,10,MOBILEBILL,711,13-JUL-2025,850.62
2881066946,SHIPRI_20053,10,SM,6456,15-JUL-2025,7010.71
4217282000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,5647,12-JUL-2025,3403.25
2959599254,UNNAV GATE_20056,10,MOBMRI,1616,10-JUL-2025,1899.03
6050572000,MUNNA LAL POWER HOUSE_20049,10,SM,2550,08-JUL-2025,2935.04
1888182000,SHIPRI_20053,10,MRI,2178,31-JUL-2025,2420.26
3750644996,UNNAV GATE_20056,20,SM,1067,10-JUL-2025,1065.55
6612972000,JAIL CHOWRAHA_20051,10,SM,3575,07-JUL-2025,3986.8
6163472000,RANI MAHAL_20050,10,OCR_CORAL,1460,11-JUL-2025,1715.6
7395182000,SHIPRI_20053,10,MOBMRI,836,07-JUL-2025,903.02
0168917352,UNNAV GATE_20056,10,MRB,275,29-JUL-2025,539.65
6810815363,RANI MAHAL_20050,10,SM,1298,29-JUL-2025,1543.02
8725904144,MUNNA LAL POWER HOUSE_20049,20,MOBMRI,3631,28-JUL-2025,2411.65
2913172000,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,2475,16-JUL-2025,2828.68
2378182000,SHIPRI_20053,10,SM,2050,26-JUL-2025,2393.33
9564400661,SUTI MILL_20055,93,MOBMRI,4027,17-JUL-2025,4056.27
2665272000,RANI MAHAL_20050,10,SM,1497,14-JUL-2025,1764.38
5003223656,SHIPRI_20053,10,MOBILEBILL,2150,07-JUL-2025,2495.94
1275777294,PULIYA NO. 9_20052,10,MOBMRI,4204,10-JUL-2025,4602.02
8104814956,SUTI MILL_20055,10,MOBMRI,3120,16-JUL-2025,3487.05
0764772000,SHIPRI_20053,10,SM,1567,07-JUL-2025,1842.02
9308628219,UNNAV GATE_20056,10,MOBILEBILL,2570,03-JUL-2025,2280.29
3092182000,SHIPRI_20053,10,MOBILEBILL,681,08-JUL-2025,785.75
0752282000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,4939,06-JUL-2025,5396.53
5025147872,SUTI MILL_20055,10,MOBILEBILL,2455,11-JUL-2025,2779.51
4926972000,PULIYA NO. 9_20052,10,SM,2484,10-JUL-2025,2838.37
6178436955,UNNAV GATE_20056,10,MOBMRI,2631,24-JUL-2025,2943.3
