ACCT_ID,SUBSTATION,SUPPLY_TYPE,MR_SOURCE_CD,PAY_AMT,PAY_DAY
7876638982,NANDANPUTRA_20061,10,MOBMRI,1324.0,18
8157598538,BIJAULI_20057,10,MOBILEBILL,1939.0,15
2453382000,NEW GALLA MANDI_20201,10,OCR_CORAL,1240.0,14
2349701954,NANDANPUTRA_20061,10,SM,1643.0,16
5799511560,BIJAULI_20057,10,MOBMRI,3527.0,30
7194872000,NANDANPUTRA_20061,10,MOBILEBILL,1547.0,8
1265530324,NANDANPUTRA_20061,10,MOBMRI,9762.0,29
4200872000,MEDICAL_20054,10,MOBILEBILL,2033.0,13
5274872000,NANDANPUTRA_20061,10,MOBILEBILL,2775.0,9
1908991687,HASARI_20059,10,SC,5400.0,20
8463572000,NAGRA_20060,10,MOBMRI,3179.0,19
4181282000,NAGRA_20060,10,MOBILEBILL,1481.0,15
4738572000,NANDANPUTRA_20061,10,SM,1841.0,9
9537972000,NEW GALLA MANDI_20201,10,MOBILEBILL,1841.0,11
8736814711,BIJAULI_20057,10,MOBMRI,2772.0,21
0610066166,NAGRA_20060,10,MOBMRI,1126.0,25
9082272000,HASARI_20059,10,SM,1427.0,4
8778172000,NAGRA_20060,10,SM,1891.0,8
1827772000,NAGRA_20060,10,MOBMRI,1300.0,14
7373572000,NAGRA_20060,10,SM,4307.0,12
1881868911,NEW GALLA MANDI_20201,10,MOBMRI,1464.0,24
3092872000,NANDANPUTRA_20061,10,SM,1183.0,10
4975672000,GALLA MANDI_20048,10,SM,4399.0,15
3338372000,NANDANPUTRA_20061,10,MOBMRI,5086.0,5
5657072000,NAGRA_20060,10,SM,1487.0,14
2322182000,HASARI_20059,10,SM,1410.0,4
5573129711,NANDANPUTRA_20061,10,MOBMRI,6764.0,19
3920127472,MEDICAL_20054,10,MOBMRI,166.0,11
1819162995,GALLA MANDI_20048,10,MOBMRI,1272.0,16
4111472000,NAGRA_20060,10,SM,557.0,5
5283572000,NAGRA_20060,10,SM,1100.0,21
6570054879,NANDANPUTRA_20061,10,MOBMRI,945.0,8
9340082000,NANDANPUTRA_20061,10,SM,7279.0,5
8238111097,NAGRA_20060,10,MOBILEBILL,2402.0,10
0000672000,NANDANPUTRA_20061,10,MOBILEBILL,1496.0,8
3887182000,NAGRA_20060,10,SM,4637.0,7
1118172000,NAGRA_20060,10,MOBILEBILL,1728.0,13
